# fpr mean_ccr
0.831832 0.993038
0.832833 0.993059
0.833834 0.993069
0.834835 0.993069
0.835836 0.993069
0.836837 0.993069
0.837838 0.993069
0.838839 0.993069
0.839840 0.993069
0.840841 0.993069
0.841842 0.993069
0.842843 0.993069
0.843844 0.993069
0.844845 0.993069
0.845846 0.993069
0.846847 0.993069
0.847848 0.993069
0.848849 0.993069
0.849850 0.993069
0.850851 0.993069
0.851852 0.993069
0.852853 0.993069
0.853854 0.993069
0.854855 0.993069
0.855856 0.993069
0.856857 0.993069
0.857858 0.993069
0.858859 0.993069
0.859860 0.993069
0.860861 0.993069
